,lat,lng
176,40.36667,19.83333
177,41.06889,19.69944
178,42.2375,19.78
179,42.1,19.7
180,41.02417,19.81611
181,41.69083,19.65333
182,41.18333,19.53333
183,40.99861,19.94778
184,42.33333,19.75
185,40.39639,19.72972
186,41.63528,19.755
187,41.28333,19.86667
188,40.67083,19.69833
189,41.32278,19.51028
190,40.96667,19.83333
191,42.04444,19.97056
192,40.88639,19.51139
193,40.39028,19.88583
194,42.05306,19.83722
195,42.08972,19.895
196,42.25,19.66667
197,40.21667,19.93333
198,41.42722,19.67278
199,40.78028,19.84417
200,40.69917,19.57444
201,41.21667,19.71667
202,41.25306,19.85306
203,41.05,19.79917
204,40.77889,19.92306
205,41.35389,19.80667
206,41.05167,19.96083
207,41.05472,19.8375
208,40.74389,19.93528
209,42.01667,19.41667
210,40.625,19.46694
211,41.44417,19.74833
212,40.64444,19.7925
213,41.26389,19.65583
214,42.13333,19.63333
215,40.34583,19.97917
216,40.75361,19.57944
217,41.42861,19.59306
218,41.37917,19.6075
219,40.44278,19.95444
220,40.83444,19.55222
221,40.67611,19.48972
222,42.29472,19.93167
223,41.11444,19.60972
224,40.47333,19.76639
225,40.78389,19.78667
226,40.7175,19.74556
227,40.72667,19.68667
228,41.10056,19.5275
229,40.86667,19.71667
230,41.21556,19.97139
231,40.43861,19.84444
232,40.83083,19.90056
233,40.38944,19.60222
234,41.58333,19.96667
235,40.82417,19.60389
236,41.40306,19.51806
237,42.3525,19.48917
238,41.34972,19.71028
239,41.06306,19.71611
240,41.83333,19.66667
241,40.91417,19.88944
242,41.89333,19.89861
243,41.54528,19.6
244,40.97167,19.78972
245,41.2,19.61667
246,40.56194,19.73583
247,41.95306,19.63778
248,42.05,19.56667
249,42.15917,19.51889
250,40.55194,19.77833
251,40.92944,19.9475
252,40.88806,19.58583
253,41.15194,19.96361
254,40.95,19.58333
255,40.96778,19.68528
256,41.02556,19.72389
257,41.33306,19.57806
258,41.65028,19.62
259,40.5,19.81667
260,40.65,19.5
261,40.86722,19.78528
262,40.74556,19.49389
263,41.39361,19.91583
264,41.99167,19.41056
265,41.91556,19.60444
266,40.73028,19.79056
267,40.60333,19.62611
268,42.11944,19.89972
269,40.81806,19.64083
270,41.47417,19.65167
271,40.26778,19.66917
272,41.24528,19.90111
273,41.63194,19.92917
274,40.99528,19.76528
275,41.21389,19.79694
